Index,Critical Regions,Scenario Name,Theta 1,Theta 2,Theta 3,Theta 4,Obj,"X (P1,1)","X (P1,2)","X (P1,3)","X (P1,4)",Updated Obj,"Y_up(WC1,1)","Y_up(WC1,2)","Y_up(WC1,3)","Y_up(WC1,4)","Y_up(WC2,1)","Y_up(WC2,2)","Y_up(WC2,3)","Y_up(WC2,4)","Y_up(WC3,1)","Y_up(WC3,2)","Y_up(WC3,3)","Y_up(WC3,4)","X_up(P1,1)","X_up(P1,2)","X_up(P1,3)","X_up(P1,4)",Plan
52,CR 2,Sc62,96.0,80.0,108.0,80.0,9328.00,96.00,60.00,108.00,100.00,9328.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,96.00,60.00,108.00,100.00,Plan E
53,CR 2,Sc63,96.0,80.0,108.0,96.0,9680.00,96.00,60.00,124.00,100.00,9680.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,96.00,60.00,124.00,100.00,Plan E
78,CR 3,Sc64,96.0,100.0,72.0,64.0,8673.00,96.00,80.00,72.00,84.00,8631.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,86.0,100.0,50.0,Plan D
54,CR 2,Sc65,96.0,100.0,72.0,80.0,8993.00,96.00,80.00,72.00,100.00,8993.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,96.00,80.00,72.00,100.00,Plan E
55,CR 2,Sc66,96.0,100.0,72.0,96.0,9350.00,96.00,80.00,88.00,100.00,9350.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,96.00,80.00,88.00,100.00,Plan E
79,CR 3,Sc67,96.0,100.0,90.0,64.0,9038.00,96.00,80.00,90.00,84.00,9006.0,2.0,2.0,2.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1.0,96.0,80.0,94.0,80.0,Plan C
56,CR 2,Sc68,96.0,100.0,90.0,80.0,9358.00,96.00,80.00,90.00,100.00,9358.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,96.00,80.00,90.00,100.00,Plan E
57,CR 2,Sc69,96.0,100.0,90.0,96.0,9720.00,96.00,80.00,106.00,100.00,9720.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,96.00,80.00,106.00,100.00,Plan E
80,CR 3,Sc70,96.0,100.0,108.0,64.0,9408.00,96.00,80.00,108.00,84.00,9389.999999999996,2.0,2.0,2.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,96.0,91.9999999999988,100.00000000000074,80.00000000000045,Plan C
58,CR 2,Sc71,96.0,100.0,108.0,80.0,9728.00,96.00,80.00,108.00,100.00,9728.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,96.00,80.00,108.00,100.00,Plan E
59,CR 2,Sc72,96.0,100.0,108.0,96.0,10080.00,96.00,80.00,124.00,100.00,10080.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,96.00,80.00,124.00,100.00,Plan E
60,CR 2,Sc73,96.0,120.0,72.0,64.0,9078.00,96.00,100.00,72.00,84.00,9045.999999999998,2.0,2.0,2.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,96.0,100.0,75.99999999999913,80.00000000000087,Plan C
61,CR 2,Sc74,96.0,120.0,72.0,80.0,9398.00,96.00,100.00,72.00,100.00,9397.999999999995,2.0,2.0,2.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,96.0,100.0,91.9999999999991,80.00000000000074,Plan C
62,CR 2,Sc75,96.0,120.0,72.0,96.0,9755.00,96.00,100.00,88.00,100.00,9755.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,96.00,100.00,88.00,100.00,Plan E
63,CR 2,Sc76,96.0,120.0,90.0,64.0,9443.00,96.00,100.00,90.00,84.00,9406.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,96.0,100.0,94.0,80.0,Plan C
64,CR 2,Sc77,96.0,120.0,90.0,80.0,9763.00,96.00,100.00,90.00,100.00,9763.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,96.00,100.00,90.00,100.00,Plan E
65,CR 2,Sc78,96.0,120.0,90.0,96.0,10125.00,96.00,100.00,106.00,100.00,10125.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,96.00,100.00,106.00,100.00,Plan E
66,CR 2,Sc79,96.0,120.0,108.0,64.0,9813.00,96.00,100.00,108.00,84.00,9813.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,96.00,100.00,108.00,84.00,Plan E
67,CR 2,Sc80,96.0,120.0,108.0,80.0,10133.00,96.00,100.00,108.00,100.00,10133.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,96.00,100.00,108.00,100.00,Plan E
68,CR 2,Sc81,96.0,120.0,108.0,96.0,10485.00,96.00,100.00,124.00,100.00,10485.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,96.00,100.00,124.00,100.00,Plan E
